;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
30;1167173,359361687;38404,22808004226;13992,896981919781;326152,0078085061;155790,84092680516;594341,8970267224;226801,0865179667;438551,0560999173;417067,52550000045
31;1248162,124367647;40548,14550715469;15066,406939772129;350448,63731029414;159622,39345399346;646257,7720305432;221937,44440329933;486635,3785765497;417067,52550000045
32;1329150,8893736016;42619,78730321927;16113,345056478414;374745,26681208046;162986,54690387947;698173,6470343592;218021,17688732722;535187,1001304797;417067,52550000045
33;1410139,6543795504;44672,135213826194;17163,664817284396;399041,8963138651;165959,2320238688;750089,5220381749;214003,70185495395;584130,2900143061;417067,52550000045
34;720252,0043200012;23534,390314955843;4901,872691676909;180075,60129600036;95830,36139999975;230930,7720000008;282892,49751555786;135100,41060000105;417067,52550000045
35;801240,7693259538;26435,681620774732;6741,7359275015915;204372,23079778612;112936,108247647;282846,6470038165;261614,08748111015;169910,5387561695;417067,52550000045
36;882229,5343319108;28974,447801312872;8358,006524821925;228668,86029957325;124706,71836950925;334762,52200763527;246801,4052994536;210055,803638126;417067,52550000045
37;963218,2993378659;31422,96095999661;9775,144092379502;252965,48980135977;133562,58744574885;386678,3970114523;235341,78145461582;253115,80956570344;417067,52550000045
38;1044207,064343825;33829,243644444985;11078,382504720921;277262,1193031475;140614,78861883894;438594,27201527235;225812,66678500723;297979,4833964334;417067,52550000045
39;1125195,8293497772;36150,30911578685;12333,34764319721;301558,74880493316;146469,25568865865;490510,1470190878;217864,86331600527;344040,8913304291;417067,52550000045
40;1206184,5943557327;38399,59557234248;13526,03437064295;325855,3783067198;151445,64885968599;542426,0220229056;211069,33403182006;390980,37316321966;417067,52550000045
41;1287173,359361687;40568,74714030469;14664,566302408179;350152,0078085061;155790,84092680516;594341,8970267224;205422,1838302913;438551,0560999173;417067,52550000045
42;1368162,124367647;42717,88815644552;15775,52383307061;374448,63731029414;159622,39345399346;646257,7720305432;200125,4550588856;486635,3785765497;417067,52550000045
43;1449150,8893736016;44817,939027995046;16855,294629437856;398745,26681208046;162986,54690387947;698173,6470343592;195770,53123751498;535187,1001304797;417067,52550000045
44;1530139,6543795504;46874,97335888691;17936,192512383852;423041,8963138651;165959,2320238688;750089,5220381749;191427,39134713923;584130,2900143061;417067,52550000045
45;840252,0043200012;25311,186802618096;5077,072123644653;204075,60129600036;95830,36139999975;230930,7720000008;270029,6861317258;135100,41060000105;417067,52550000045
46;921240,7693259538;28293,42619256446;6955,99163072645;228372,23079778612;112936,108247647;282846,6470038165;247227,93959420986;169910,5387561695;417067,52550000045
47;1002229,5343319108;30817,7313147788;8637,225156391409;252668,86029957325;124706,71836950925;334762,52200763527;231390,63745472397;210055,803638126;417067,52550000045
48;1083218,2993378658;33307,03405381034;10130,45888823255;276965,48980135977;133562,58744574885;386678,3970114523;219053,7347495038;253115,80956570344;417067,52550000045
49;1164207,064343825;35749,924632090035;11494,156084121078;301262,1193031475;140614,78861883894;438594,27201527235;208420,1183117833;297979,4833964334;417067,52550000045
50;1245195,8293497772;38069,6091164614;12790,244792815474;325558,74880493316;146469,25568865865;490510,1470190878;199856,15222977326;344040,8913304291;417067,52550000045
51;1326184,5943557327;40351,73099255478;14031,755408588426;349855,3783067198;151445,64885968599;542426,0220229056;192307,1376726473;390980,37316321966;417067,52550000045
