;Investkosten;Ersparnisse Prosumer;Ersparnisse Consumer;Förderkosten;Eigenverbrauch;Erzeugung;Netzbezug;Netzeinspeisung;Verbrauch
0;;;;;;;;;
145;2727889,766858031;177631,49969454826;57319,65465074215;668366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
146;3517011,066916064;258833,2821700596;100928,80623153727;905103,3200748191;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
147;4306132,366974089;338227,1636433213;143314,24950545162;1141839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
148;5095253,66703212;416825,0132485614;185297,5071685088;1378576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
149;5884374,967090128;495012,79082661815;227103,47832208214;1615312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
150;6673496,26714817;572961,6539553222;268826,4440440178;1852048,8801444508;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
151;7462617,567206187;650744,4346066321;310504,53543319757;2088785,2701618562;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
152;8251738,867264254;728414,6594173943;352154,0732099244;2325521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
153;9040860,16732227;805995,3713136623;393785,5074324552;2562258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
154;9829981,467380263;883522,4115359207;435405,6526316476;2798994,4402140784;184788,20731885626;4384200,772305402;209912,61056936232;4177045,8573747827;417067,52550000045
155;2688768,4668000014;91004,03858633862;5141,445277262388;581630,5400400005;36661,02822500002;230930,7720000008;321209,9360999992;135073,1826000001;417067,52550000045
156;3477889,766858031;177631,49969454826;57319,65465074215;818366,9300574092;113973,41765201134;646257,7720305432;257445,13204600455;486635,3785765476;417067,52550000045
157;4267011,066916063;258833,2821700596;100928,80623153727;1055103,320074819;137143,15388416726;1061584,772061086;238249,55227667032;882766,7988377566;417067,52550000045
158;5056132,366974089;338227,1636433213;143314,24950545162;1291839,7100922267;150561,25962260927;1476911,7720916239;228708,77922430614;1288553,025815933;417067,52550000045
159;5845253,66703212;416825,0132485614;185297,5071685088;1528576,1001096359;159802,2209802787;1892238,7721221694;222983,98540404596;1698155,232026215;417067,52550000045
160;6634374,967090128;495012,79082661815;227103,47832208214;1765312,4901270384;166704,49839145335;2307565,772152701;219129,76017188706;2109628,0068245935;417067,52550000045
161;7423496,26714817;572961,6539553222;268826,4440440178;2002048,8801444508;172013,820276037;2722892,7721832525;216300,7574906662;2522126,00417392;417067,52550000045
162;8212617,567206187;650744,4346066321;310504,53543319757;2238785,270161856;176169,6368296435;3138219,7722137813;214143,59178444007;2935295,8384982287;417067,52550000045
163;9001738,867264254;728414,6594173943;352154,0732099244;2475521,660179276;179562,01689119384;3553546,7722443403;212435,81924064818;3348915,065984981;417067,52550000045
164;9790860,16732227;805995,3713136623;393785,5074324552;2712258,050196681;182391,90028900007;3968873,772274882;211070,77430412412;3762877,0210789945;417067,52550000045
